brand,logo_url,brand_id,category
LNG,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/c0a29d488b004fd3a86c7e8d5ff69f85.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",c0a29d488b004fd3a86c7e8d5ff69f85,bags
LOEWE,"https://cdn-img.thepoizon.ru/source-img/brand-img//45473511b7e748acb48c7a87a2cef497-10320.png?x-oss-process=image/format,webp/resize,w_63,h_63",45473511b7e748acb48c7a87a2cef497-10320,bags
LONGCHAMP,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/aec11a65c9594185be23689cb8767e25.png?x-oss-process=image/format,webp/resize,w_63,h_63",aec11a65c9594185be23689cb8767e25,bags
Loro Piana,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230711/86f4f08ec2b245af856850f35d517ec5.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",86f4f08ec2b245af856850f35d517ec5,bags
Lost In Echo,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230711/e6a01556b87a4999aacabfa70f9c886e.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",e6a01556b87a4999aacabfa70f9c886e,bags
LOUIS VUITTON,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20221213/c59aa7c097f34a239769395e70446686.png?x-oss-process=image/format,webp/resize,w_63,h_63",c59aa7c097f34a239769395e70446686,bags
lululemon,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230109/d6e614d2d9cf4a1da42fedc317d8386d.png?x-oss-process=image/format,webp/resize,w_63,h_63",d6e614d2d9cf4a1da42fedc317d8386d,bags
Maison Margiela,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230210/f4642b5825cf4aa89d8c538042eb50e7.png?x-oss-process=image/format,webp/resize,w_63,h_63",f4642b5825cf4aa89d8c538042eb50e7,bags
MAMMUT,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230706/8a95c92b1e0e441e8b4ceae5d524ab5f.png?x-oss-process=image/format,webp/resize,w_63,h_63",8a95c92b1e0e441e8b4ceae5d524ab5f,bags
MARC JACOBS,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230214/69b9c011c97f46158293263425825095.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",69b9c011c97f46158293263425825095,bags
MARNI,"https://cdn-img.thepoizon.ru/node-common/MjAyMTUxMi0xMTM2MTMxNjIwNzkwNTk3MjE4.png?x-oss-process=image/format,webp/resize,w_63,h_63",MjAyMTUxMi0xMTM2MTMxNjIwNzkwNTk3MjE4,bags
MCM,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte50051byte_3ed4a130ff4dc02151428c3e50978942_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte50051byte_3ed4a130ff4dc02151428c3e50978942,bags
MICHAEL KORS,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230208/b8c75de0f5464d39ab429e0fc24edb8d.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",b8c75de0f5464d39ab429e0fc24edb8d,bags
MIU MIU,"https://cdn-img.thepoizon.ru/node-common/JUU5JUEzJTlFJUU0JUI5JUE2MjAyMjEwMjAtMTM1NDQ2MTY2NjI0NTMxNTc4NA==.jpeg?x-oss-process=image/format,webp/resize,w_63,h_63",JUU5JUEzJTlFJUU0JUI5JUE2MjAyMjEwMjAtMTM1NDQ2MTY2NjI0NTMxNTc4NA==,bags
Mizuno,"https://cdn-img.thepoizon.ru/source-img/brand-img//f289b18e47c340adb34260283f6df7e0-10329.png?x-oss-process=image/format,webp/resize,w_63,h_63",f289b18e47c340adb34260283f6df7e0-10329,bags
MLB,"https://cdn-img.thepoizon.ru/node-common/TUxCJUU1JTkzJTgxJUU3JTg5JThDTE9HTzE2NTE3NDQ1MDkxNjk=.png?x-oss-process=image/format,webp/resize,w_63,h_63",TUxCJUU1JTkzJTgxJUU3JTg5JThDTE9HTzE2NTE3NDQ1MDkxNjk=,bags
MM6 Maison Margiela,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230210/ee6fa533fab14070abf9207d8c47d996.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",ee6fa533fab14070abf9207d8c47d996,bags
MOBI GARDEN,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230220/dfcf21b759ed4bfe98babc6bd6cc7f9c.jpeg?x-oss-process=image/format,webp/resize,w_63,h_63",dfcf21b759ed4bfe98babc6bd6cc7f9c,bags
MONTBELL,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230424/645873dfae214b51bbe166fe3c30c0b8.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",645873dfae214b51bbe166fe3c30c0b8,bags
MONTBLANC,"https://cdn-img.thepoizon.ru/node-common/d2FuYmFvbG9uZzE2NjYyNTE3NDk4MTE=.png?x-oss-process=image/format,webp/resize,w_63,h_63",d2FuYmFvbG9uZzE2NjYyNTE3NDk4MTE=,bags
MOSCHINO,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte3922byte_e6fed7cc9d76aaed983119b1f6ea4da2_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte3922byte_e6fed7cc9d76aaed983119b1f6ea4da2,bags
MYSTERY RANCH,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/66c279f9c2ed44c5a42a4ca2eceea7e2.png?x-oss-process=image/format,webp/resize,w_63,h_63",66c279f9c2ed44c5a42a4ca2eceea7e2,bags
NAVIGARE,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/0e30cb14f5934c23b432a715299b0df9.png?x-oss-process=image/format,webp/resize,w_63,h_63",0e30cb14f5934c23b432a715299b0df9,bags
NEIGHBORHOOD,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte3804byte_316eb37426516d3cf8252fcbab6aa0cf_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte3804byte_316eb37426516d3cf8252fcbab6aa0cf,bags
Nerdy,"https://cdn-img.thepoizon.ru/source-img/brand-img//06bd8d81c5954d679d6ff7f578e834ab-1000180.png?x-oss-process=image/format,webp/resize,w_63,h_63",06bd8d81c5954d679d6ff7f578e834ab-1000180,bags
New Balance,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte6189byte_1cb7717a44b335651ad4656610142591_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte6189byte_1cb7717a44b335651ad4656610142591,bags
New Era,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte12037byte_2650d81fe891a08f41ba8ef58f92e4c8_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte12037byte_2650d81fe891a08f41ba8ef58f92e4c8,bags
Nike,"https://cdn-img.thepoizon.ru/node-common/48cb1b2c-e34b-eeb0-efcb-26ee1f63c905-150-150.png?x-oss-process=image/format,webp/resize,w_63,h_63",48cb1b2c-e34b-eeb0-efcb-26ee1f63c905-150-150,bags
NOAH,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte33752byte_11638ecd79b8d3c7fd29b92dfb9f5f5b_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte33752byte_11638ecd79b8d3c7fd29b92dfb9f5f5b,bags
Oakley,"https://cdn-img.thepoizon.ru/0736f72df70b49d0a8a82703a1701e82.png?x-oss-process=image/format,webp/resize,w_63,h_63",0736f72df70b49d0a8a82703a1701e82,bags
OFF-WHITE,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte2408byte_4d329f274512ddb136989432292cdd3f_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte2408byte_4d329f274512ddb136989432292cdd3f,bags
On,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230615/445b93463504448f8d0f0313ec2eaa01.?x-oss-process=image/format,webp/resize,w_63,h_63",445b93463504448f8d0f0313ec2eaa01,bags
OSPREY,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/be1169b7ef4b44319b13820deaca74e7.png?x-oss-process=image/format,webp/resize,w_63,h_63",be1169b7ef4b44319b13820deaca74e7,bags
PALACE,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte8691byte_5577b630f2fd4fcb8d6f7f45071acc40_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte8691byte_5577b630f2fd4fcb8d6f7f45071acc40,bags
