brand,logo_url,brand_id,category
HERMES,"https://cdn-img.thepoizon.ru/c3f02eddbe5943b3911c19633739c281.png?x-oss-process=image/format,webp/resize,w_63,h_63",c3f02eddbe5943b3911c19633739c281,sneakers
HOGAN,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/e6a45a374f04423a8aa33a8229008cc5.png?x-oss-process=image/format,webp/resize,w_63,h_63",e6a45a374f04423a8aa33a8229008cc5,sneakers
Hoka One One,"https://cdn-img.thepoizon.ru/node-common/MjAyMjA5MDItMTAyNjA1MTY2MjA4NTU4NTE5Mg==.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",MjAyMjA5MDItMTAyNjA1MTY2MjA4NTU4NTE5Mg==,sneakers
HUGO BOSS,"https://cdn-img.thepoizon.ru/source-img/brand-img//4905ec7d61514d8ca2aadcb2718c8393-10446.png?x-oss-process=image/format,webp/resize,w_63,h_63",4905ec7d61514d8ca2aadcb2718c8393-10446,sneakers
HUNTER,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230519/9aaff73003714705942002bc86df1252.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",9aaff73003714705942002bc86df1252,sneakers
JACK WOLFSKIN,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/3600e300057048c7a4504db6b495a2dc.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",3600e300057048c7a4504db6b495a2dc,sneakers
Jimmy Choo,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230210/70293293510f46f6826d6023c5e87718.png?x-oss-process=image/format,webp/resize,w_63,h_63",70293293510f46f6826d6023c5e87718,sneakers
Kappa,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230706/b2cc6cd10131440a8219ed58e77ef76d.png?x-oss-process=image/format,webp/resize,w_63,h_63",b2cc6cd10131440a8219ed58e77ef76d,sneakers
Kawasaki,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/12ea4c2d8d604bb78e8d75904735c8cb.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",12ea4c2d8d604bb78e8d75904735c8cb,sneakers
Keen,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230606/1b7c3ca87ea64925818468525e770775.png?x-oss-process=image/format,webp/resize,w_63,h_63",1b7c3ca87ea64925818468525e770775,sneakers
LACOSTE,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/678092a1db884f72a41f58ef5865866f.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",678092a1db884f72a41f58ef5865866f,sneakers
Lanvin,"https://cdn-img.thepoizon.ru/node-common/TGFudmluJTIwJUU1JTkzJTgxJUU3JTg5JThDbG9nbzE2MDYxOTgwNTIyMDk=.png?x-oss-process=image/format,webp/resize,w_63,h_63",TGFudmluJTIwJUU1JTkzJTgxJUU3JTg5JThDbG9nbzE2MDYxOTgwNTIyMDk=,sneakers
LINING,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte7350byte_d60fa387aac42cb8c9b79700d720397d_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte7350byte_d60fa387aac42cb8c9b79700d720397d,sneakers
LOEWE,"https://cdn-img.thepoizon.ru/source-img/brand-img//45473511b7e748acb48c7a87a2cef497-10320.png?x-oss-process=image/format,webp/resize,w_63,h_63",45473511b7e748acb48c7a87a2cef497-10320,sneakers
LOUIS VUITTON,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20221213/c59aa7c097f34a239769395e70446686.png?x-oss-process=image/format,webp/resize,w_63,h_63",c59aa7c097f34a239769395e70446686,sneakers
lululemon,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230109/d6e614d2d9cf4a1da42fedc317d8386d.png?x-oss-process=image/format,webp/resize,w_63,h_63",d6e614d2d9cf4a1da42fedc317d8386d,sneakers
Maison Margiela,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230210/f4642b5825cf4aa89d8c538042eb50e7.png?x-oss-process=image/format,webp/resize,w_63,h_63",f4642b5825cf4aa89d8c538042eb50e7,sneakers
MARNI,"https://cdn-img.thepoizon.ru/node-common/MjAyMTUxMi0xMTM2MTMxNjIwNzkwNTk3MjE4.png?x-oss-process=image/format,webp/resize,w_63,h_63",MjAyMTUxMi0xMTM2MTMxNjIwNzkwNTk3MjE4,sneakers
Martine Rose,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/43a4ed9dbca44593911ce8d345e6f6c6.png?x-oss-process=image/format,webp/resize,w_63,h_63",43a4ed9dbca44593911ce8d345e6f6c6,sneakers
MIHARA YASUHIRO,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230606/fbe66994b6604d5aa296e36f254079cf.png?x-oss-process=image/format,webp/resize,w_63,h_63",fbe66994b6604d5aa296e36f254079cf,sneakers
MIU MIU,"https://cdn-img.thepoizon.ru/node-common/JUU5JUEzJTlFJUU0JUI5JUE2MjAyMjEwMjAtMTM1NDQ2MTY2NjI0NTMxNTc4NA==.jpeg?x-oss-process=image/format,webp/resize,w_63,h_63",JUU5JUEzJTlFJUU0JUI5JUE2MjAyMjEwMjAtMTM1NDQ2MTY2NjI0NTMxNTc4NA==,sneakers
Mizuno,"https://cdn-img.thepoizon.ru/source-img/brand-img//f289b18e47c340adb34260283f6df7e0-10329.png?x-oss-process=image/format,webp/resize,w_63,h_63",f289b18e47c340adb34260283f6df7e0-10329,sneakers
MLB,"https://cdn-img.thepoizon.ru/node-common/TUxCJUU1JTkzJTgxJUU3JTg5JThDTE9HTzE2NTE3NDQ1MDkxNjk=.png?x-oss-process=image/format,webp/resize,w_63,h_63",TUxCJUU1JTkzJTgxJUU3JTg5JThDTE9HTzE2NTE3NDQ1MDkxNjk=,sneakers
MM6 Maison Margiela,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230210/ee6fa533fab14070abf9207d8c47d996.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",ee6fa533fab14070abf9207d8c47d996,sneakers
Moncler,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte27878byte_9066687c9718c1168f8846653018a935_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte27878byte_9066687c9718c1168f8846653018a935,sneakers
Moon Boot,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/8cb08cc50b4a4628976a40e5a3cb6f16.png?x-oss-process=image/format,webp/resize,w_63,h_63",8cb08cc50b4a4628976a40e5a3cb6f16,sneakers
New Balance,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte6189byte_1cb7717a44b335651ad4656610142591_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte6189byte_1cb7717a44b335651ad4656610142591,sneakers
